Date,Store Zip Code,Product,Units,Amount of Sale,Revenue Discount,COGS,Payment Type
12/16/2016,85001,Carlota,6,167.7,0.1,70.56,2
12/23/2016,85327,Fun Fly,2,9.9,0,6.38,3
10/11/2016,85001,Fun Fly,1,4.95,0,3.91,3
11/24/2016,85001,Carlota,1,27.95,0,13.31,6
11/14/2016,85327,Quad,6,263.76,0.1,133.86,7
11/11/2016,85327,Fun Fly,1,4.95,0,3.78,7
11/30/2016,85001,Fun Fly,6,29.7,0.1,22.92,7
10/25/2016,85327,Fun Fly,1,4.95,0,3.3,5
10/9/2016,85327,Quad,1,43.96,0,22.96,4
11/30/2016,85001,Aspen,3,83.85,0,34.23,6
12/15/2016,85001,Quad,2,87.92,0,45.92,1
12/9/2016,85001,Fun Fly,1,4.95,0,3.67,7
11/27/2016,85327,Quad,1,43.96,0,22.92,1
12/5/2016,85327,Fun Fly,1,4.95,0,3.13,5
12/3/2016,85327,Fun Fly,1,4.95,0,3.64,4
11/26/2016,85001,Aspen,1,27.95,0,12.36,6
11/3/2016,85224,Fun Fly,1,4.95,0,2.94,7
12/7/2016,85001,Majestic Beaut,1,32.95,0,18.88,8
10/1/2016,85327,Carlota,1,27.95,0,12.88,5
11/23/2016,85327,Fun Fly,1,4.95,0,3.86,7
11/26/2016,85001,Fun Fly,1,4.95,0,3.32,3
10/22/2016,85327,Bellen,1,24.95,0,14.18,7
12/18/2016,85224,Fun Fly,1,4.95,0,4.04,2
12/13/2016,85001,Fun Fly,1,4.95,0,2.99,5
12/3/2016,85001,Quad,1,43.96,0,22.57,7
11/11/2016,85001,Carlota,1,27.95,0,12.66,4
11/10/2016,85001,Quad,6,263.76,0.1,133.38,1
10/28/2016,85001,Quad,1,43.96,0,22.94,3
11/23/2016,85001,Fun Fly,1,4.95,0,2.88,7
10/10/2016,85327,Bellen,1,24.95,0,13.19,6
12/13/2016,85001,Bellen,1,24.95,0,14.25,1
12/24/2016,85001,Quad,1,43.96,0,22.22,7
10/23/2016,85001,Crested Beaut,3,113.85,0,67.08,1
12/4/2016,85001,Fun Fly,1,4.95,0,2.63,1
10/2/2016,85001,Quad,2,87.92,0,45.52,3
11/28/2016,85001,Quad,1,43.96,0,21.92,4
12/23/2016,85001,Bellen,1,24.95,0,13.81,4
11/20/2016,85001,Fun Fly,1,4.95,0,3.27,3
10/18/2016,85327,Fun Fly,1,4.95,0,3.12,1
11/14/2016,85224,Quad,1,43.96,0,22.18,1
11/13/2016,85327,Yanaki,1,28.75,0,15.2,7
11/20/2016,85327,Fun Fly,1,4.95,0,3.14,7
10/12/2016,85001,Carlota,6,167.7,0.1,81.06,5
11/14/2016,85001,Quad,1,43.96,0,22.14,5
10/20/2016,85001,Fun Fly,2,9.9,0,7.76,1
10/12/2016,85224,Fun Fly,1,4.95,0,4.01,4
10/30/2016,85001,Aspen,1,27.95,0,12.69,7
12/20/2016,85327,Fun Fly,1,4.95,0,2.41,8
11/6/2016,85327,Bellen,2,49.9,0,27.98,5
12/14/2016,85224,Fun Fly,1,4.95,0,4.16,7
10/19/2016,85001,Fun Fly,1,4.95,0,3.74,4
11/28/2016,85224,Aspen,1,27.95,0,11.44,7
10/30/2016,85001,Fun Fly,1,4.95,0,3.88,1
10/17/2016,85001,Fun Fly,2,9.9,0,5.36,4
10/13/2016,85224,Fun Fly,1,4.95,0,2.41,5
11/19/2016,85001,Quad,1,43.96,0,22.25,6
10/12/2016,85327,Fun Fly,1,4.95,0,2.68,3
12/17/2016,85327,Carlota,2,55.9,0,25.84,2
10/27/2016,85327,Fun Fly,1,4.95,0,3.37,7
10/27/2016,85224,Yanaki,1,28.75,0,14.42,6
12/23/2016,85327,Quad,1,43.96,0,22.62,5
12/17/2016,85001,Fun Fly,1,4.95,0,3.71,2
10/31/2016,85327,Fun Fly,1,4.95,0,4.13,3
11/9/2016,85001,Carlota,1,27.95,0,12.71,2
12/10/2016,85224,Fun Fly,3,14.85,0,10.98,5
10/7/2016,85001,Fun Fly,2,9.9,0,7.64,4
11/13/2016,85001,Majestic Beaut,1,32.95,0,19.06,4
10/25/2016,85224,Fun Fly,1,4.95,0,4.04,6
10/13/2016,85001,Fun Fly,1,4.95,0,2.67,7
11/21/2016,85001,Yanaki,1,28.75,0,14.71,7
11/13/2016,85224,Fun Fly,6,29.7,0.1,17.1,5
12/18/2016,85001,Fun Fly,1,4.95,0,3.31,6
11/4/2016,85001,Quad,2,87.92,0,44.98,6
11/16/2016,85327,Fun Fly,1,4.95,0,2.8,2
11/16/2016,85001,Quad,1,43.96,0,22.19,5
11/28/2016,85001,Crested Beaut,1,37.95,0,23.18,7
10/29/2016,85001,Fun Fly,1,4.95,0,2.44,3
10/29/2016,85327,Quad,1,43.96,0,22.63,7
11/23/2016,85224,Majestic Beaut,1,32.95,0,19.14,7
11/15/2016,85001,Carlota,1,27.95,0,11.73,6
12/15/2016,85001,Carlota,1,27.95,0,12.8,5
10/13/2016,85001,Quad,1,43.96,0,22.71,3
10/19/2016,85327,Fun Fly,1,4.95,0,2.7,7
12/10/2016,85001,Crested Beaut,1,37.95,0,22.35,7
10/31/2016,85001,Majestic Beaut,1,32.95,0,20.11,5
10/31/2016,85001,Carlota,6,167.7,0.1,71.88,8
11/5/2016,85001,Fun Fly,1,4.95,0,2.71,6
12/11/2016,85001,Majestic Beaut,2,65.9,0,41.1,3
12/1/2016,85224,Quad,1,43.96,0,22.26,8
11/5/2016,85224,Quad,1,43.96,0,22.76,5
11/28/2016,85001,Crested Beaut,1,37.95,0,22.84,5
10/14/2016,85327,Fun Fly,1,4.95,0,3.1,5
11/20/2016,85001,Fun Fly,1,4.95,0,2.85,2
12/9/2016,85001,Fun Fly,1,4.95,0,2.8,6
11/5/2016,85327,Aspen,2,55.9,0,24.74,8
11/5/2016,85001,Carlota,1,27.95,0,12.7,1
10/28/2016,85001,Carlota,1,27.95,0,13.51,1
12/18/2016,85001,Crested Beaut,1,37.95,0,23.35,6
11/21/2016,85224,Bellen,1,24.95,0,13.37,2
11/28/2016,85001,Fun Fly,1,4.95,0,2.59,3
11/5/2016,85327,Fun Fly,1,4.95,0,3.26,4
12/8/2016,85001,Quad,1,43.96,0,21.55,1
11/10/2016,85001,Quad,6,263.76,0.1,128.34,3
12/3/2016,85327,Fun Fly,2,9.9,0,5.96,2
12/11/2016,85224,Aspen,1,27.95,0,12.22,5
11/11/2016,85001,Aspen,1,27.95,0,12.22,7
11/20/2016,85327,Quad,1,43.96,0,21.83,3
12/11/2016,85001,Aspen,1,27.95,0,12.44,6
10/5/2016,85224,Fun Fly,1,4.95,0,2.77,3
10/7/2016,85224,Carlota,1,27.95,0,13.09,1
12/15/2016,85001,Bellen,1,24.95,0,13.51,3
10/26/2016,85327,Yanaki,6,172.5,0.1,91.56,5
12/6/2016,85327,Fun Fly,1,4.95,0,2.7,3
11/3/2016,85327,Fun Fly,6,29.7,0.1,19.68,1
11/7/2016,85327,Quad,3,131.88,0,63.81,2
12/12/2016,85001,Yanaki,1,28.75,0,15.78,4
10/10/2016,85001,Fun Fly,1,4.95,0,3.09,7
12/22/2016,85001,Bellen,1,24.95,0,13.86,3
11/15/2016,85001,Majestic Beaut,1,32.95,0,19.15,6
11/30/2016,85224,Yanaki,1,28.75,0,14.99,7
10/18/2016,85001,Carlota,1,27.95,0,13.52,8
11/5/2016,85001,Quad,6,263.76,0.1,134.94,3
10/25/2016,85327,Fun Fly,1,4.95,0,3.16,5
12/9/2016,85001,Majestic Beaut,1,32.95,0,18.89,5
11/1/2016,85001,Majestic Beaut,1,32.95,0,20.44,3
10/16/2016,85001,Fun Fly,1,4.95,0,4.16,3
10/4/2016,85224,Fun Fly,1,4.95,0,2.97,8
11/30/2016,85001,Fun Fly,1,4.95,0,3.69,7
12/8/2016,85224,Fun Fly,1,4.95,0,3.66,5
11/30/2016,85224,Bellen,1,24.95,0,13.54,8
12/7/2016,85001,Fun Fly,1,4.95,0,3.41,2
10/23/2016,85327,Fun Fly,1,4.95,0,2.88,3
12/21/2016,85224,Fun Fly,1,4.95,0,3.8,3
11/3/2016,85224,Fun Fly,1,4.95,0,3.18,4
10/18/2016,85224,Carlota,1,27.95,0,12.97,7
12/17/2016,85001,Quad,1,43.96,0,22.31,7
12/10/2016,85224,Crested Beaut,1,37.95,0,22.73,7
10/30/2016,85001,Majestic Beaut,1,32.95,0,19.13,7
10/21/2016,85001,Quad,1,43.96,0,22.06,6
12/6/2016,85327,Fun Fly,6,29.7,0.1,22.14,4
10/26/2016,85001,Crested Beaut,6,227.7,0.1,136.32,7
11/28/2016,85001,Fun Fly,1,4.95,0,3.8,5
10/19/2016,85001,Carlota,2,55.9,0,26.54,1
11/2/2016,85224,Aspen,1,27.95,0,11.86,1
11/25/2016,85001,Fun Fly,4,19.8,0.1,16.08,2
11/29/2016,85001,Fun Fly,1,4.95,0,3.04,6
12/18/2016,85224,Yanaki,1,28.75,0,14.94,7
11/16/2016,85327,Fun Fly,1,4.95,0,3.67,3
11/20/2016,85001,Quad,1,43.96,0,22.08,5
10/17/2016,85001,Bellen,1,24.95,0,13.17,7
11/10/2016,85001,Carlota,1,27.95,0,12.81,7
11/9/2016,85327,Fun Fly,1,4.95,0,2.86,4
10/29/2016,85224,Carlota,1,27.95,0,13.12,3
12/16/2016,85001,Quad,1,43.96,0,22.25,3
11/23/2016,85001,Fun Fly,2,9.9,0,7.34,1
11/10/2016,85327,Fun Fly,1,4.95,0,2.57,4
10/5/2016,85327,Fun Fly,1,4.95,0,2.9,7
10/26/2016,85001,Yanaki,1,28.75,0,14.91,5
10/30/2016,85327,Fun Fly,3,14.85,0,7.44,2
11/16/2016,85327,Fun Fly,1,4.95,0,2.72,7
11/4/2016,85224,Quad,1,43.96,0,22.69,8
10/19/2016,85001,Majestic Beaut,1,32.95,0,20.06,5
12/9/2016,85224,Fun Fly,2,9.9,0,5.14,3
12/10/2016,85224,Fun Fly,1,4.95,0,3.51,1
10/30/2016,85224,Quad,1,43.96,0,22.78,6
10/19/2016,85327,Yanaki,2,57.5,0,29.9,5
10/19/2016,85224,Quad,1,43.96,0,21.57,3
11/28/2016,85224,Fun Fly,1,4.95,0,2.77,7
11/18/2016,85224,Fun Fly,1,4.95,0,2.4,5
10/20/2016,85327,Aspen,1,27.95,0,12.68,4
11/18/2016,85327,Fun Fly,1,4.95,0,3.08,3
11/7/2016,85001,Fun Fly,1,4.95,0,2.7,5
11/26/2016,85001,Fun Fly,6,29.7,0.1,25.02,5
12/24/2016,85001,Fun Fly,1,4.95,0,3.12,7
10/24/2016,85001,Fun Fly,1,4.95,0,3.09,7
10/10/2016,85224,Fun Fly,6,29.7,0.1,21.42,7
10/17/2016,85327,Quad,1,43.96,0,21.25,8
10/31/2016,85224,Fun Fly,4,19.8,0.1,11,7
10/15/2016,85001,Quad,1,43.96,0,22.79,5
10/11/2016,85327,Carlota,1,27.95,0,11.94,5
11/10/2016,85224,Bellen,1,24.95,0,13.1,1
11/23/2016,85224,Aspen,1,27.95,0,11.32,4
11/27/2016,85327,Quad,1,43.96,0,22.22,6
12/17/2016,85224,Fun Fly,1,4.95,0,4,1
10/4/2016,85327,Quad,1,43.96,0,22.15,1
11/9/2016,85001,Crested Beaut,6,227.7,0.1,140.28,8
10/12/2016,85001,Fun Fly,2,9.9,0,7.38,5
12/1/2016,85001,Carlota,1,27.95,0,12.15,3
10/29/2016,85224,Fun Fly,1,4.95,0,2.69,8
12/9/2016,85001,Fun Fly,1,4.95,0,3.14,4
10/5/2016,85327,Crested Beaut,1,37.95,0,22.35,3
10/30/2016,85001,Bellen,1,24.95,0,13.71,7
10/1/2016,85327,Quad,2,87.92,0,45.64,3
10/27/2016,85224,Majestic Beaut,3,98.85,0,61.38,3
12/18/2016,85001,Quad,1,43.96,0,21.58,5
12/21/2016,85001,Fun Fly,1,4.95,0,2.87,7
12/6/2016,85001,Quad,1,43.96,0,21.71,3
10/25/2016,85224,Bellen,6,149.7,0.1,81.06,2
12/12/2016,85327,Majestic Beaut,1,32.95,0,20.42,6
10/8/2016,85001,Quad,1,43.96,0,22.01,6
12/20/2016,85224,Bellen,3,74.85,0,39.87,4
11/7/2016,85001,Fun Fly,1,4.95,0,3.27,7
11/19/2016,85001,Yanaki,2,57.5,0,29,6
11/17/2016,85327,Fun Fly,6,29.7,0.1,24.96,2
11/13/2016,85327,Fun Fly,1,4.95,0,2.79,7
11/22/2016,85224,Carlota,6,167.7,0.1,78.24,2
10/25/2016,85224,Quad,1,43.96,0,22.75,5
11/23/2016,85001,Bellen,6,149.7,0.1,78.54,7
11/24/2016,85001,Yanaki,1,28.75,0,15.57,4
10/29/2016,85001,Bellen,1,24.95,0,13.74,1
11/20/2016,85001,Quad,1,43.96,0,22.79,3
11/13/2016,85001,Fun Fly,1,4.95,0,4.02,3
10/7/2016,85001,Majestic Beaut,1,32.95,0,19.88,5
12/23/2016,85327,Quad,1,43.96,0,22.4,4
10/28/2016,85001,Majestic Beaut,1,32.95,0,20.12,1
10/16/2016,85001,Crested Beaut,1,37.95,0,21.94,4
12/23/2016,85327,Bellen,1,24.95,0,13.21,2
11/11/2016,85001,Majestic Beaut,1,32.95,0,19.69,2
11/1/2016,85327,Fun Fly,6,29.7,0.1,23.88,4
12/16/2016,85224,Majestic Beaut,6,197.7,0.1,116.4,7
10/9/2016,85001,Carlota,1,27.95,0,13.39,7
12/10/2016,85327,Carlota,1,27.95,0,12.27,5
10/18/2016,85001,Fun Fly,1,4.95,0,4.06,5
10/15/2016,85327,Fun Fly,1,4.95,0,3.7,5
10/2/2016,85327,Fun Fly,1,4.95,0,2.9,4
10/31/2016,85001,Majestic Beaut,1,32.95,0,19.18,4
11/18/2016,85327,Majestic Beaut,1,32.95,0,20.12,8
11/22/2016,85001,Fun Fly,1,4.95,0,2.88,5
11/19/2016,85224,Fun Fly,1,4.95,0,3.26,1
12/14/2016,85224,Majestic Beaut,1,32.95,0,19.91,6
11/19/2016,85224,Majestic Beaut,1,32.95,0,20.34,2
10/15/2016,85001,Majestic Beaut,4,131.8,0.1,81.4,7
11/13/2016,85224,Bellen,1,24.95,0,14.46,5
12/8/2016,85001,Yanaki,1,28.75,0,14.52,7
11/4/2016,85001,Majestic Beaut,1,32.95,0,20.16,6
12/19/2016,85001,Fun Fly,1,4.95,0,3.14,2
11/26/2016,85001,Yanaki,1,28.75,0,14.86,1
11/10/2016,85327,Fun Fly,1,4.95,0,3.39,7
11/1/2016,85224,Fun Fly,1,4.95,0,3.93,7
10/3/2016,85224,Fun Fly,1,4.95,0,3.98,5
12/3/2016,85001,Fun Fly,1,4.95,0,3.83,3
11/3/2016,85001,Bellen,1,24.95,0,13.84,3
11/12/2016,85224,Fun Fly,1,4.95,0,4.01,1
10/22/2016,85001,Carlota,1,27.95,0,12.88,8
11/14/2016,85327,Fun Fly,1,4.95,0,4.17,8
10/29/2016,85001,Yanaki,1,28.75,0,16.16,5
12/23/2016,85001,Quad,2,87.92,0,45.18,5
12/4/2016,85001,Yanaki,1,28.75,0,14.6,5
11/29/2016,85224,Bellen,1,24.95,0,13.43,2
11/8/2016,85224,Fun Fly,2,9.9,0,5.96,3
11/1/2016,85001,Fun Fly,1,4.95,0,3.54,7
11/2/2016,85327,Fun Fly,1,4.95,0,3.63,7
11/1/2016,85224,Fun Fly,1,4.95,0,3.87,8
10/18/2016,85224,Fun Fly,1,4.95,0,3.38,3
10/9/2016,85001,Quad,1,43.96,0,22.57,6
10/22/2016,85327,Fun Fly,1,4.95,0,3.5,7
12/4/2016,85327,Bellen,1,24.95,0,13.71,1
11/21/2016,85224,Yanaki,1,28.75,0,14.92,7
10/6/2016,85001,Quad,1,43.96,0,21.31,5
12/16/2016,85001,Majestic Beaut,6,197.7,0.1,119.82,4
11/26/2016,85001,Fun Fly,1,4.95,0,4.15,3
12/5/2016,85001,Fun Fly,1,4.95,0,2.37,7
10/17/2016,85001,Quad,1,43.96,0,22.78,7
11/2/2016,85001,Fun Fly,1,4.95,0,4.15,1
12/3/2016,85001,Aspen,1,27.95,0,11.34,5
10/4/2016,85327,Carlota,1,27.95,0,13.46,4
11/25/2016,85224,Yanaki,1,28.75,0,16.14,5
12/8/2016,85327,Fun Fly,1,4.95,0,3.31,5
11/9/2016,85001,Majestic Beaut,1,32.95,0,19.89,5
11/4/2016,85327,Fun Fly,1,4.95,0,3.19,3
10/9/2016,85327,Fun Fly,1,4.95,0,3.17,1
11/26/2016,85327,Carlota,1,27.95,0,12.2,3
10/24/2016,85224,Quad,1,43.96,0,22.25,7
11/28/2016,85224,Carlota,1,27.95,0,13.35,4
12/10/2016,85001,Fun Fly,1,4.95,0,3.49,2
11/16/2016,85327,Fun Fly,2,9.9,0,5.7,4
10/27/2016,85224,Quad,1,43.96,0,22.26,4
12/3/2016,85001,Quad,1,43.96,0,22.89,7
11/16/2016,85327,Crested Beaut,1,37.95,0,22.72,6
10/16/2016,85001,Fun Fly,1,4.95,0,3.09,7
11/6/2016,85224,Crested Beaut,1,37.95,0,23.14,8
10/22/2016,85224,Majestic Beaut,1,32.95,0,19.81,3
12/3/2016,85327,Fun Fly,1,4.95,0,3.98,5
11/6/2016,85001,Fun Fly,1,4.95,0,4.14,5
11/1/2016,85001,Fun Fly,1,4.95,0,3.6,7
11/13/2016,85327,Majestic Beaut,1,32.95,0,19.81,3
11/2/2016,85001,Fun Fly,1,4.95,0,2.85,7
12/6/2016,85001,Fun Fly,1,4.95,0,3.09,2
10/27/2016,85327,Quad,1,43.96,0,21.76,5
10/28/2016,85224,Aspen,1,27.95,0,12.12,4
10/8/2016,85327,Carlota,1,27.95,0,12.19,1
11/15/2016,85224,Fun Fly,1,4.95,0,3.01,7
10/21/2016,85224,Bellen,1,24.95,0,12.77,7
11/27/2016,85001,Quad,1,43.96,0,22.11,8
11/17/2016,85224,Fun Fly,1,4.95,0,2.41,4
12/8/2016,85224,Crested Beaut,1,37.95,0,22,7
10/30/2016,85001,Fun Fly,1,4.95,0,3,5
10/11/2016,85001,Majestic Beaut,1,32.95,0,19.81,7
11/14/2016,85001,Yanaki,1,28.75,0,14.61,7
12/13/2016,85224,Fun Fly,1,4.95,0,3.87,6
12/8/2016,85001,Majestic Beaut,4,131.8,0.1,76.92,5
11/13/2016,85001,Carlota,1,27.95,0,12.56,3
10/7/2016,85327,Quad,1,43.96,0,21.64,1
12/17/2016,85001,Carlota,1,27.95,0,12.58,3
12/5/2016,85001,Carlota,3,83.85,0,39.99,7
12/5/2016,85224,Majestic Beaut,1,32.95,0,20.17,7
10/11/2016,85001,Quad,1,43.96,0,21.82,4
10/3/2016,85327,Yanaki,1,28.75,0,14.76,1
12/11/2016,85327,Majestic Beaut,1,32.95,0,19.83,3
12/17/2016,85001,Fun Fly,3,14.85,0,9.33,1
10/3/2016,85001,Quad,2,87.92,0,44.94,7
11/3/2016,85327,Fun Fly,1,4.95,0,2.45,7
12/23/2016,85001,Majestic Beaut,1,32.95,0,20.49,4
11/30/2016,85001,Quad,1,43.96,0,22.23,1
10/14/2016,85327,Fun Fly,1,4.95,0,3.11,1
11/18/2016,85224,Fun Fly,1,4.95,0,3.19,7
10/18/2016,85001,Bellen,1,24.95,0,13.79,5
11/28/2016,85001,Bellen,3,74.85,0,39.87,5
11/13/2016,85224,Quad,6,263.76,0.1,131.1,7
11/12/2016,85001,Bellen,1,24.95,0,13.31,6
10/7/2016,85327,Fun Fly,1,4.95,0,2.55,7
11/7/2016,85327,Bellen,1,24.95,0,14.17,7
10/28/2016,85001,Fun Fly,1,4.95,0,3.69,3
11/6/2016,85327,Aspen,1,27.95,0,11.74,7
12/19/2016,85327,Quad,1,43.96,0,21.72,3
11/9/2016,85327,Fun Fly,1,4.95,0,3.89,7
11/4/2016,85001,Crested Beaut,1,37.95,0,22.38,1
10/21/2016,85001,Quad,1,43.96,0,22.37,7
11/8/2016,85001,Bellen,1,24.95,0,14.4,7
12/18/2016,85224,Carlota,1,27.95,0,12.48,4
12/22/2016,85001,Yanaki,1,28.75,0,14.71,7
12/2/2016,85001,Fun Fly,1,4.95,0,2.78,6
12/14/2016,85327,Fun Fly,1,4.95,0,4.11,7
12/4/2016,85327,Fun Fly,1,4.95,0,2.75,5
10/29/2016,85327,Bellen,1,24.95,0,13.49,6
11/3/2016,85327,Quad,1,43.96,0,22.33,7
12/15/2016,85001,Fun Fly,1,4.95,0,2.53,4
12/15/2016,85224,Bellen,1,24.95,0,13.56,5
11/20/2016,85001,Fun Fly,6,29.7,0.1,24.6,5
10/9/2016,85001,Fun Fly,1,4.95,0,3.41,3
10/13/2016,85224,Fun Fly,1,4.95,0,3.92,7
10/15/2016,85224,Fun Fly,1,4.95,0,2.64,3
12/7/2016,85001,Fun Fly,1,4.95,0,2.68,6
10/18/2016,85001,Quad,1,43.96,0,21.42,7
10/31/2016,85001,Bellen,1,24.95,0,13.74,8
11/23/2016,85001,Fun Fly,6,29.7,0.1,19.92,3
12/2/2016,85224,Quad,2,87.92,0,44.04,1
11/23/2016,85001,Quad,6,263.76,0.1,136.8,7
11/16/2016,85327,Aspen,1,27.95,0,12.58,4
12/23/2016,85001,Fun Fly,6,29.7,0.1,19.86,4
12/8/2016,85327,Majestic Beaut,4,131.8,0.1,80.32,1
12/12/2016,85327,Fun Fly,1,4.95,0,3.05,5
10/15/2016,85001,Fun Fly,2,9.9,0,6.3,3
10/18/2016,85001,Bellen,1,24.95,0,13.24,5
10/6/2016,85224,Aspen,3,83.85,0,36.33,4
11/19/2016,85327,Fun Fly,1,4.95,0,2.61,3
12/21/2016,85001,Yanaki,1,28.75,0,16.15,3
10/27/2016,85001,Quad,1,43.96,0,22.61,7
11/27/2016,85327,Bellen,1,24.95,0,13.94,3
12/3/2016,85224,Quad,1,43.96,0,21.4,3
12/18/2016,85224,Fun Fly,1,4.95,0,2.56,8
11/17/2016,85001,Yanaki,1,28.75,0,16.06,5
11/20/2016,85001,Fun Fly,1,4.95,0,2.74,4
10/21/2016,85327,Fun Fly,1,4.95,0,3.83,5
10/27/2016,85001,Fun Fly,2,9.9,0,6.58,3
11/14/2016,85327,Quad,1,43.96,0,21.25,5
12/22/2016,85224,Fun Fly,1,4.95,0,2.66,5
10/11/2016,85224,Quad,6,263.76,0.1,134.76,5
11/17/2016,85001,Fun Fly,3,14.85,0,11.37,5
12/19/2016,85327,Quad,1,43.96,0,21.46,5
10/26/2016,85001,Quad,1,43.96,0,22.37,7
11/13/2016,85001,Fun Fly,1,4.95,0,2.99,5
10/20/2016,85224,Yanaki,1,28.75,0,15.42,3
11/22/2016,85001,Fun Fly,1,4.95,0,2.65,8
10/8/2016,85001,Fun Fly,2,9.9,0,7.06,1
10/29/2016,85327,Yanaki,1,28.75,0,15.73,1
12/3/2016,85327,Fun Fly,1,4.95,0,2.78,5
12/9/2016,85224,Quad,1,43.96,0,21.26,7
11/22/2016,85224,Bellen,1,24.95,0,13.45,3
12/10/2016,85001,Fun Fly,1,4.95,0,2.97,7
10/27/2016,85327,Crested Beaut,1,37.95,0,22.89,1
12/2/2016,85001,Bellen,1,24.95,0,13.36,3
10/9/2016,85001,Yanaki,1,28.75,0,15.03,3
11/28/2016,85001,Fun Fly,1,4.95,0,2.79,3
12/16/2016,85327,Fun Fly,2,9.9,0,7.7,7
11/11/2016,85327,Quad,1,43.96,0,22.54,6
10/30/2016,85001,Yanaki,1,28.75,0,14.64,5
12/23/2016,85001,Majestic Beaut,1,32.95,0,19.16,3
12/10/2016,85001,Fun Fly,6,29.7,0.1,24.42,4
11/22/2016,85001,Quad,1,43.96,0,23.04,7
10/7/2016,85224,Yanaki,1,28.75,0,15.88,4
10/11/2016,85001,Fun Fly,6,29.7,0.1,14.64,3
11/7/2016,85327,Fun Fly,3,14.85,0,7.71,7
11/14/2016,85224,Fun Fly,1,4.95,0,4.03,7
10/11/2016,85224,Carlota,1,27.95,0,12.27,8
12/1/2016,85001,Fun Fly,1,4.95,0,2.51,4
11/9/2016,85001,Quad,1,43.96,0,23.03,4
10/16/2016,85001,Fun Fly,1,4.95,0,4.06,8
11/25/2016,85327,Fun Fly,1,4.95,0,2.59,1
11/18/2016,85327,Fun Fly,6,29.7,0.1,24.96,6
12/18/2016,85327,Quad,1,43.96,0,21.25,3
10/25/2016,85001,Aspen,1,27.95,0,11.83,3
11/23/2016,85001,Carlota,4,111.8,0.1,49.56,3
10/11/2016,85001,Bellen,1,24.95,0,13.99,4
11/13/2016,85001,Quad,1,43.96,0,22.17,7
12/14/2016,85001,Bellen,1,24.95,0,12.91,2
10/28/2016,85327,Fun Fly,1,4.95,0,2.43,7
12/24/2016,85001,Bellen,1,24.95,0,13.24,4
11/20/2016,85327,Fun Fly,1,4.95,0,3.27,3
12/5/2016,85327,Majestic Beaut,1,32.95,0,19.54,5
12/19/2016,85001,Fun Fly,1,4.95,0,3.36,5
11/30/2016,85001,Fun Fly,3,14.85,0,11.37,4
10/18/2016,85001,Bellen,1,24.95,0,13.47,4
10/5/2016,85327,Bellen,1,24.95,0,14,1
12/21/2016,85001,Crested Beaut,1,37.95,0,22.57,5
11/29/2016,85001,Carlota,1,27.95,0,11.72,7
12/2/2016,85001,Bellen,1,24.95,0,13.33,8
11/22/2016,85224,Majestic Beaut,1,32.95,0,19.41,1
11/20/2016,85001,Carlota,1,27.95,0,13.01,7
10/4/2016,85327,Fun Fly,1,4.95,0,3.73,4
10/16/2016,85224,Fun Fly,1,4.95,0,3.97,5
12/1/2016,85327,Fun Fly,1,4.95,0,3.01,7
10/27/2016,85001,Quad,1,43.96,0,22.2,3
12/7/2016,85224,Fun Fly,6,29.7,0.1,16.5,4
11/5/2016,85224,Fun Fly,1,4.95,0,3.65,3
11/14/2016,85224,Yanaki,6,172.5,0.1,89.1,1
12/20/2016,85001,Quad,1,43.96,0,22.12,4
11/24/2016,85001,Majestic Beaut,1,32.95,0,20.13,5
10/24/2016,85001,Fun Fly,1,4.95,0,2.88,3
10/27/2016,85001,Fun Fly,1,4.95,0,3.8,7
10/30/2016,85224,Bellen,1,24.95,0,13.68,1
10/4/2016,85224,Carlota,1,27.95,0,13.51,7
10/21/2016,85327,Fun Fly,1,4.95,0,3.71,1
10/6/2016,85001,Bellen,2,49.9,0,27.08,5
10/10/2016,85001,Yanaki,1,28.75,0,15.31,5
11/10/2016,85001,Fun Fly,6,29.7,0.1,16.56,4
11/30/2016,85001,Fun Fly,1,4.95,0,3.35,4
11/26/2016,85001,Fun Fly,1,4.95,0,3.98,4
10/1/2016,85001,Carlota,1,27.95,0,13.41,5
10/26/2016,85001,Fun Fly,1,4.95,0,3.58,5
11/25/2016,85001,Fun Fly,3,14.85,0,7.71,3
10/16/2016,85001,Fun Fly,1,4.95,0,4.13,7
10/14/2016,85001,Fun Fly,4,19.8,0.1,12.88,3
11/24/2016,85327,Fun Fly,1,4.95,0,3.28,3
10/15/2016,85001,Quad,1,43.96,0,21.55,5
12/16/2016,85001,Majestic Beaut,1,32.95,0,19.07,1
11/13/2016,85001,Fun Fly,4,19.8,0.1,10.2,5
11/10/2016,85001,Fun Fly,1,4.95,0,4.12,4
10/7/2016,85224,Fun Fly,6,29.7,0.1,20.04,8
10/4/2016,85224,Fun Fly,1,4.95,0,2.93,7
10/9/2016,85001,Majestic Beaut,3,98.85,0,60.33,7
12/14/2016,85327,Majestic Beaut,1,32.95,0,20.08,8
12/3/2016,85327,Carlota,3,83.85,0,39.24,3
11/21/2016,85327,Yanaki,1,28.75,0,15.3,5
10/4/2016,85001,Fun Fly,1,4.95,0,2.61,3
10/6/2016,85001,Fun Fly,6,29.7,0.1,15.6,6
10/8/2016,85224,Fun Fly,1,4.95,0,2.65,7
10/6/2016,85224,Fun Fly,2,9.9,0,4.84,5
12/1/2016,85001,Quad,3,131.88,0,68.04,1
